sentence,label
hide new secretions from the parental units ,negative
"contains no wit , only labored gags ",negative
that loves its characters and communicates something rather beautiful about human nature ,positive
remains utterly satisfied to remain the same throughout ,negative
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,negative
that 's far too tragic to merit such superficial treatment ,negative
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",positive
of saucy ,positive
a depressed fifteen-year-old 's suicidal poetry ,negative
are more deeply thought through than in most ` right-thinking ' films ,positive
